College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
Gondia College Of Pharmacy,Pharmacy,35946,Chulod,51.31,6.29,1.23,42.11,38.26,23.14,73.02
Adarsh Institute of Pharmacy,Pharmacy,24400,Nagpur,70.19,65.11,38.44,64.31,67.46,36.16,72.25
Abha Gaikwad-Patil College of Pharmacy,Pharmacy,25774,Nagpur,69.10,56.39,4.32,42.11,64.77,34.41,76.08
NDMVP Samaj's College of Pharmacy,Pharmacy,1088,Nashik,97.83,93.30,94.67,96.12,97.34,98.00,99.11
Mahatma Gandhi Vidya Mandir's Pharmacy College,Pharm D,5561,Nashik,92.01,89.81,58.13,80.39,88.46,88.06,96.78
Mahatma Gandhi Vidya Mandir's Pharmacy College,Pharmacy,5882,Nashik,91.63,79.92,84.57,81.26,89.70,90.16,96.12
Dhulia Charitable Society's Annasaheb Ramesh Ajmera College of Pharmacy,Pharmacy,19017,Nagaon,77.14,48.81,66.88,74.11,74.75,42.51,83.49
Pravara Rural Education Society's Pravara Rural College of Pharmacy,Pharmacy,11160,Pravararanagar,85.65,81.26,45.32,74.56,84.05,83.70,94.29
MGSM's Smt.Sharadchandrika Suresh Patil  College of Pharmacy,Pharmacy,14385,Chopda,82.13,41.78,76.04,69.59,81.09,44.48,90.40
Tapi Valley Education Society's Hon'ble Loksevak Madhukarrao Chaudhari College of Pharmacy,Pharmacy,22969,Faizpur,71.85,45.46,57.78,50.97,68.43,34.52,88.06
Dr. Vithalrao Vikhe Patil Foundation's College of Pharmacy,Pharmacy,11951,Ahmednagar,84.70,71.21,50.90,83.40,82.33,85.88,94.12
Mula Education Society's College of Pharmacy,Pharmacy,12690,Sonai,83.89,69.35,34.40,76.66,83.38,84.05,92.44
Amrutvahini College of Pharmacy,Pharmacy,9272,Sangamner,87.83,84.70,77.37,81.10,87.06,86.56,94.62
Jagdamba Education Soceity S.N.D. College of Pharmacy Babhulgaon,Pharmacy,22857,Nashik,71.90,55.81,44.48,65.32,67.65,74.59,82.41
S.M.B.T. College Of Pharmacy Nandi Hills Dhamangaon,Pharmacy,11480,Nashik,85.35,82.05,77.82,84.57,89.33,83.49,93.58
Shri Sureshdada Jain Institute Of Pharmaceutical Education and Research,Pharmacy,16116,Jalgaon,80.23,58.26,25.03,44.70,75.22,58.11,84.57
Shellino Education Society's Arunamai College of Pharmacy,Pharmacy,19273,Jalgaon,76.55,49.61,11.14,58.26,74.56,55.91,88.44
Pravara Rural Education Society's College of Pharmacy,Pharmacy,15662,Nashik,80.73,69.35,70.07,75.13,78.79,76.08,85.98
Nasik Gramin Shikshan Prasarak Mandal's College of Pharmacy,Pharmacy,23958,Nashik,71.11,60.97,64.31,64.51,72.61,64.51,79.14
K.B.H.S.S. Trust's Institute of Pharmacy,Pharmacy,23396,Nashik,71.73,42.42,49.57,66.33,66.45,44.48,85.34
Nagaon Education Society Gangamai College of Pharmacy,Pharmacy,28521,Dhule,64.51,21.42,59.33,54.62,61.25,9.50,77.99
MGVM's Samajshri Prashantdada Hiray College of Pharmacy,Pharmacy,28426,Malegaon,64.55,37.14,39.43,57.90,60.13,46.23,84.44
Kisan Vidya Prasarak's K.V.P.S. Institute of Pharmaceutical Education,Pharmacy,27956,Dhule,65.11,36.01,58.68,49.65,54.40,27.65,84.05
MET's Institute of Pharmacy Bhujbal Knowledge City Metleague Colleges,Pharm D,6771,Nashik,90.65,89.26,9.49,86.67,87.06,93.09,99.11
MET's Institute of Pharmacy Bhujbal Knowledge City Metleague Colleges,Pharmacy,4457,Nashik,93.36,87.27,83.38,93.07,94.31,92.48,96.98
Royal College of Pharmacetical Education & Research,Pharmacy,25528,Malegaon,69.30,43.24,26.75,50.90,57.54,36.01,84.57
Kai Yashodabai Dagadu Saraf Charitable Trust's College of Pharmacy,Pharmacy,33197,Sakegaon,56.73,21.42,5.83,34.07,52.43,37.99,76.92
Kalyani Charitable Trust Ravindra Gambhirrao Sapkal College of Pharmacy,Pharmacy,18938,Nashik,77.25,74.25,65.42,65.11,74.59,64.49,85.43
Shri. Vivekanand Nursing Home Trust College of Pharmacy,Pharmacy,16794,Ahmednagar,79.35,64.31,57.90,70.48,77.51,77.49,89.09
Shri. Gurudatta Shikshan Sansthas  Loknete Dr. J.D. Pawar College of Pharmacy,Pharmacy,17912,Manur,78.02,50.90,76.08,62.00,76.55,57.72,87.77
Nashik District Maratha Vidya Prasarak Samaj's Institute Of Pharmaceutical Sciences,Pharmacy,12837,Nashik,83.76,77.37,71.25,72.98,81.10,78.74,86.73
Jagdamba Education Society's S.N.D. Institute of Pharmacy,Pharmacy,31600,Yeola,59.68,45.84,12.41,31.63,55.91,61.25,80.39
Mahavir  Institute Of  Pharmacy,Pharmacy,24686,Nashik,69.77,58.80,63.38,50.61,66.82,66.82,82.59
Jijamata Foundation's Shree. P.E. (Tatya) Patil Institute of Pharmacy,Pharmacy,34279,Jalgaon,54.62,30.35,44.43,48.81,49.88,42.44,76.10
Swami Vivekanand Sanstha's Insttitute Of Pharmacy,Pharmacy,41164,Malegaon,38.27,34.07,10.97,23.44,26.89,0.53,69.40
Amrutvahini Sheti & Shikshan Vikas Sanstha`S Amrutwahini Institute Of Pharmacy,Pharmacy,15059,Sangamner,81.30,67.58,62.23,67.65,79.35,75.22,92.04
Matoshri Education Society's M. A. B. D. Institute of Pharmaceutical Education and Research,Pharmacy,35268,Nashik,53.11,33.34,38.40,45.32,43.11,59.64,71.21
Nagaon Education Soc., Gangamai Institute of Pharmacy,Pharmacy,35215,Dhule,53.11,26.89,26.71,39.99,44.70,15.91,66.88
Godavari Shikshan Mandal's Asian Institute of Pharmacy,Pharmacy,33569,Nashik,56.39,17.47,52.56,52.74,54.00,41.11,80.41
Sanjay Education Society's Institute of Pharmacy,Pharmacy,35729,Dhule,52.43,46.16,5.83,28.83,39.43,13.56,69.10
Sandip Institute of Pharmaceutical Science,Pharmacy,12438,Nashik,84.40,77.82,76.08,79.64,83.36,85.38,93.81
Matoshri College of Pharmacy,Pharmacy,15278,Nashik,81.19,75.86,67.95,72.25,77.90,77.25,87.35
